#run,start_time,stop_time,species,cell,charge_avg_online,charge_avg_offline,charge_avg_offline_err,run_dose(Pe/cm2)
16066,2022-06-13 23:44:00-04:00,2022-06-14 01:59:00-04:00,p,15,0.8237,0.8296,0.003558,0.040779609
16067,2022-06-14 02:01:00-04:00,2022-06-14 05:51:00-04:00,p,15,0.8227,0.8283,0.003562,0.040930627
16069,2022-06-14 06:10:00-04:00,2022-06-14 08:35:00-04:00,p,15,0.8263,0.8319,0.00372,0.037415645
16074,2022-06-14 20:17:00-04:00,2022-06-14 22:34:00-04:00,p,15,0.8365,0.8436,0.003653,0.038253058
16075,2022-06-14 22:36:00-04:00,2022-06-15 00:50:00-04:00,p,15,0.8285,0.8351,0.003557,0.039769756
16076,2022-06-15 00:52:00-04:00,2022-06-15 02:53:00-04:00,p,15,0.8276,0.8339,0.003685,0.038374836
16077,2022-06-15 02:55:00-04:00,2022-06-15 05:17:00-04:00,p,15,0.8269,0.833,0.003619,0.036940855
16078,2022-06-15 05:22:00-04:00,2022-06-15 07:41:00-04:00,p,15,0.8313,0.8373,0.005776,0.015563391
16137,2022-06-20 00:02:00-04:00,2022-06-20 07:13:00-04:00,p,15,0.6343,0.6089,0.000803,0.322977652
16138,2022-06-20 07:17:00-04:00,2022-06-20 14:57:00-04:00,p,15,0.6332,0.6044,0.000851,0.276974634
16144,2022-06-20 16:02:00-04:00,2022-06-20 20:05:00-04:00,p,15,0.6306,0.5974,0.001062,0.175719647
16145,2022-06-20 20:09:00-04:00,2022-06-21 00:05:00-04:00,p,15,0.6284,0.594,0.001109,0.160738561
16146,2022-06-21 00:08:00-04:00,2022-06-21 03:08:00-04:00,p,15,0.6261,0.5911,0.002156,0.044776158
16148,2022-06-21 04:03:00-04:00,2022-06-21 08:26:00-04:00,p,15,0.6284,0.5947,0.001119,0.162090176
16156,2022-06-22 21:37:00-04:00,2022-06-22 23:43:00-04:00,p,15,-0.5815,-0.5445,0.001846,0.051398639
16157,2022-06-22 00:11:00-04:00,2022-06-22 04:06:00-04:00,p,15,-0.5772,-0.5411,0.001473,0.074165055
16158,2022-06-22 04:08:00-04:00,2022-06-22 06:01:00-04:00,p,15,-0.5768,-0.5403,0.0017,0.061797913
16164,2022-06-22 10:27:00-04:00,2022-06-22 10:53:00-04:00,p,15,-0.5839,-0.5461,0.005921,0.003889388
16166,2022-06-22 12:08:00-04:00,2022-06-22 13:08:00-04:00,p,15,-0.5813,-0.5453,0.001944,0.041715686
16167,2022-06-22 13:10:00-04:00,2022-06-22 16:34:00-04:00,p,15,-0.5796,-0.5432,0.001191,0.107184914
16168,2022-06-22 17:00:00-04:00,2022-06-22 18:01:00-04:00,p,15,-0.5826,-0.5457,0.003212,0.010510851
16169,2022-06-22 20:22:00-04:00,2022-06-22 21:29:00-04:00,p,15,-0.5826,-0.5455,0.002605,0.021893529
16170,2022-06-22 22:35:00-04:00,2022-06-23 02:51:00-04:00,p,15,-0.5789,-0.5417,0.000986,0.174286243
16178,2022-06-23 04:06:00-04:00,2022-06-23 06:16:00-04:00,p,15,-0.5728,-0.5349,0.001259,0.114582786
16211,2022-07-01 20:41:00-04:00,2022-07-02 01:15:00-04:00,p,15,0.6854,0.6648,0.001472,0.152875542
16213,2022-07-02 01:47:00-04:00,2022-07-02 04:44:00-04:00,p,15,0.6966,0.6752,0.001834,0.098967377
16214,2022-07-02 04:48:00-04:00,2022-07-02 08:41:00-04:00,p,15,0.6976,0.6755,0.001523,0.157553104
16221,2022-07-02 12:15:00-04:00,2022-07-02 16:23:00-04:00,p,15,0.6975,0.6746,0.001512,0.151032927
16222,2022-07-02 16:28:00-04:00,2022-07-02 20:23:00-04:00,p,15,0.6926,0.6689,0.001432,0.176738196
16223,2022-07-02 20:32:00-04:00,2022-07-03 00:32:00-04:00,p,15,0.6887,0.664,0.001333,0.203330626
16224,2022-07-03 00:34:00-04:00,2022-07-03 01:22:00-04:00,p,15,0.6878,0.6626,0.005007,0.012182136
16225,2022-07-03 01:58:00-04:00,2022-07-03 03:01:00-04:00,p,15,0.6885,0.6632,0.002572,0.052037753
16226,2022-07-03 03:07:00-04:00,2022-07-03 04:42:00-04:00,p,15,0.6872,0.6615,0.002718,0.044114381
16228,2022-07-03 05:35:00-04:00,2022-07-03 08:23:00-04:00,p,15,0.6873,0.6613,0.00207,0.085466588
16231,2022-07-03 13:35:00-04:00,2022-07-03 16:59:00-04:00,p,15,-0.5166,-0.4938,0.001322,0.092881706
16232,2022-07-03 17:58:00-04:00,2022-07-03 22:00:00-04:00,p,15,-0.5703,-0.5455,0.001114,0.181494246
16233,2022-07-03 22:03:00-04:00,2022-07-04 02:03:00-04:00,p,15,-0.5852,-0.5595,0.001121,0.195537741
16234,2022-07-04 02:07:00-04:00,2022-07-04 02:53:00-04:00,p,15,-0.5906,-0.5642,0.002635,0.036991716
16235,2022-07-04 03:05:00-04:00,2022-07-04 03:25:00-04:00,p,15,-0.5922,-0.5657,0.003977,0.016117881
16236,2022-07-04 03:31:00-04:00,2022-07-04 04:53:00-04:00,p,15,-0.5938,-0.5672,0.002178,0.051528286
16238,2022-07-04 05:19:00-04:00,2022-07-04 05:59:00-04:00,p,15,-0.5946,-0.5678,0.003305,0.022269139
16243,2022-07-04 08:17:00-04:00,2022-07-04 11:00:00-04:00,p,15,-0.5993,-0.572,0.00143,0.119535714
16244,2022-07-04 11:06:00-04:00,2022-07-04 13:11:00-04:00,p,15,-0.6003,-0.5727,0.001668,0.08708928
16245,2022-07-04 15:48:00-04:00,2022-07-04 20:26:00-04:00,p,15,-0.6015,-0.5733,0.001103,0.208973434
16246,2022-07-04 20:58:00-04:00,2022-07-05 00:58:00-04:00,p,15,-0.6046,-0.5759,0.001155,0.19367887
16248,2022-07-05 01:09:00-04:00,2022-07-05 05:08:00-04:00,p,15,-0.6045,-0.5753,0.001193,0.178115739
16249,2022-07-05 05:10:00-04:00,2022-07-05 06:30:00-04:00,p,15,-0.6058,-0.5764,0.002549,0.035278814
16250,2022-07-05 07:37:00-04:00,2022-07-05 08:24:00-04:00,p,15,-0.6047,-0.5753,0.002981,0.026299403
16251,2022-07-05 08:37:00-04:00,2022-07-05 09:35:00-04:00,p,15,-0.6053,-0.5756,0.002425,0.041025451
16252,2022-07-05 10:35:00-04:00,2022-07-05 12:00:00-04:00,p,15,-0.6065,-0.5768,0.002151,0.052342261
16253,2022-07-05 12:24:00-04:00,2022-07-05 16:22:00-04:00,p,15,-0.606,-0.5762,0.001313,0.136124047
16256,2022-07-05 16:44:00-04:00,2022-07-05 20:48:00-04:00,p,15,-0.6039,-0.5738,0.001181,0.183492217
16257,2022-07-05 20:56:00-04:00,2022-07-06 00:56:00-04:00,p,15,-0.602,-0.5717,0.001158,0.189341012
16259,2022-07-06 01:16:00-04:00,2022-07-06 05:16:00-04:00,p,15,-0.5981,-0.568,0.001207,0.167366885
16260,2022-07-06 05:22:00-04:00,2022-07-06 07:26:00-04:00,p,15,-0.5968,-0.5667,0.001605,0.098104626
16317,2022-07-14 23:30:00-04:00,2022-07-15 00:02:00-04:00,p,15,0.6177,0.6119,0.008856,0.025380817
16318,2022-07-15 00:05:00-04:00,2022-07-15 02:44:00-04:00,p,15,0.6051,0.5986,0.003995,0.12275691
16320,2022-07-15 02:55:00-04:00,2022-07-15 06:54:00-04:00,p,15,0.5963,0.5887,0.003472,0.156949585
16321,2022-07-15 06:56:00-04:00,2022-07-15 10:29:00-04:00,p,15,0.5903,0.5815,0.008472,0.131564773
16322,2022-07-15 10:37:00-04:00,2022-07-15 12:26:00-04:00,p,15,0.6106,0.5987,0.008428,0.077782973
16323,2022-07-15 12:32:00-04:00,2022-07-15 14:34:00-04:00,p,15,0.6138,0.6008,0.009782,0.047149399
16325,2022-07-15 19:14:00-04:00,2022-07-15 19:26:00-04:00,p,15,0.6162,0.6027,0.024539,0.010328044
16326,2022-07-15 19:33:00-04:00,2022-07-15 20:28:00-04:00,p,15,0.6136,0.6,0.015072,0.026489861
16328,2022-07-16 01:30:00-04:00,2022-07-16 05:27:00-04:00,p,15,0.6066,0.5905,0.007312,0.172955494
16329,2022-07-16 05:30:00-04:00,2022-07-16 09:30:00-04:00,p,15,0.6039,0.5867,0.006993,0.1980576
16330,2022-07-16 09:38:00-04:00,2022-07-16 13:38:00-04:00,p,15,0.6003,0.5818,0.00679,0.220586043
16331,2022-07-16 13:40:00-04:00,2022-07-16 15:29:00-04:00,p,15,0.5994,0.58,0.011086,0.071417729
16332,2022-07-16 15:48:00-04:00,2022-07-16 16:19:00-04:00,p,15,0.6013,0.5813,0.027529,0.010945552
16333,2022-07-16 17:30:00-04:00,2022-07-16 18:33:00-04:00,p,15,0.6023,0.5822,0.014954,0.031640059
16335,2022-07-16 23:37:00-04:00,2022-07-17 03:39:00-04:00,p,15,-0.5117,-0.5048,0.005735,0.159741663
16336,2022-07-17 03:32:00-04:00,2022-07-17 05:52:00-04:00,p,15,-0.5248,-0.5175,0.007639,0.092415116
16337,2022-07-17 05:57:00-04:00,2022-07-17 07:36:00-04:00,p,15,-0.5268,-0.5191,0.009432,0.064219777
16338,2022-07-17 07:46:00-04:00,2022-07-17 10:56:00-04:00,p,15,-0.532,-0.524,0.006651,0.137778471
16339,2022-07-17 11:08:00-04:00,2022-07-17 12:16:00-04:00,p,15,-0.5356,-0.5273,0.011442,0.043685315
16341,2022-07-17 12:34:00-04:00,2022-07-17 16:31:00-04:00,p,15,-0.5362,-0.5275,0.006018,0.163558231
16343,2022-07-17 16:56:00-04:00,2022-07-17 20:31:00-04:00,p,15,-0.5336,-0.5242,0.006232,0.155888789
16345,2022-07-17 20:51:00-04:00,2022-07-17 21:52:00-04:00,p,15,-0.5309,-0.521,0.011255,0.047713268
16346,2022-07-17 22:13:00-04:00,2022-07-18 02:10:00-04:00,p,15,-0.5352,-0.5249,0.005679,0.188092528
16348,2022-07-18 02:20:00-04:00,2022-07-18 06:19:00-04:00,p,15,-0.5326,-0.5216,0.005738,0.180702125
16350,2022-07-18 06:27:00-04:00,2022-07-18 10:28:00-04:00,p,15,-0.5347,-0.5235,0.006606,0.132281055
16352,2022-07-18 10:38:00-04:00,2022-07-18 14:42:00-04:00,p,15,-0.536,-0.5243,0.005826,0.166787431
16353,2022-07-18 14:50:00-04:00,2022-07-18 18:52:00-04:00,p,15,-0.5343,-0.5221,0.005644,0.187949735
16354,2022-07-18 18:54:00-04:00,2022-07-18 22:49:00-04:00,p,15,-0.5328,-0.5202,0.005682,0.173467696
16355,2022-07-18 22:52:00-04:00,2022-07-19 02:46:00-04:00,p,15,-0.5322,-0.5192,0.005731,0.174253749
16356,2022-07-19 02:48:00-04:00,2022-07-19 06:40:00-04:00,p,15,-0.5323,-0.5187,0.00587,0.167472278
16357,2022-07-19 06:42:00-04:00,2022-07-19 09:07:00-04:00,p,15,-0.5303,-0.5164,0.007376,0.110160509
16658,2022-08-12 06:34:00-04:00,2022-08-12 08:00:00-04:00,p,15,0.3546,0.3557,0.000668,0.071259799
16659,2022-08-12 08:08:00-04:00,2022-08-12 09:44:00-04:00,p,15,0.383,0.3838,0.000683,0.079091517
16660,2022-08-12 09:55:00-04:00,2022-08-12 11:43:00-04:00,p,15,0.4015,0.4021,0.000806,0.059571108
16664,2022-08-12 18:58:00-04:00,2022-08-12 19:41:00-04:00,p,15,0.447,0.4473,0.001646,0.016573839
16665,2022-08-12 22:15:00-04:00,2022-08-13 02:17:00-04:00,p,15,0.4674,0.4672,0.000511,0.203759125
16666,2022-08-13 02:21:00-04:00,2022-08-13 04:10:00-04:00,p,15,0.4813,0.4803,0.000784,0.093157808
16671,2022-08-13 04:51:00-04:00,2022-08-13 08:50:00-04:00,p,15,0.4935,0.492,0.00058,0.172402724
16672,2022-08-13 08:55:00-04:00,2022-08-13 12:55:00-04:00,p,15,0.5063,0.504,0.000588,0.165159383
16673,2022-08-13 13:06:00-04:00,2022-08-13 13:34:00-04:00,p,15,0.5104,0.5077,0.001637,0.023106831
16674,2022-08-13 13:54:00-04:00,2022-08-13 15:03:00-04:00,p,15,0.5135,0.5107,0.001072,0.054380663
16675,2022-08-13 18:18:00-04:00,2022-08-13 21:50:00-04:00,p,15,0.5638,0.5555,0.000671,0.161060075
16676,2022-08-13 21:56:00-04:00,2022-08-14 01:34:00-04:00,p,15,0.575,0.5652,0.000757,0.18766109
16678,2022-08-14 01:42:00-04:00,2022-08-14 03:01:00-04:00,p,15,0.5755,0.5648,0.001241,0.068742492
16679,2022-08-14 03:08:00-04:00,2022-08-14 04:37:00-04:00,p,15,0.5749,0.5638,0.001172,0.073514312
16681,2022-08-14 05:04:00-04:00,2022-08-14 09:04:00-04:00,p,15,0.5744,0.5625,0.000735,0.20515157
16682,2022-08-14 09:08:00-04:00,2022-08-14 13:08:00-04:00,p,15,0.5733,0.5603,0.000735,0.190238352
16683,2022-08-14 13:17:00-04:00,2022-08-14 17:21:00-04:00,p,15,0.5712,0.5576,0.000733,0.190172951
16685,2022-08-14 18:21:00-04:00,2022-08-14 19:15:00-04:00,p,15,0.5757,0.5613,0.001619,0.036767851
16687,2022-08-14 21:32:00-04:00,2022-08-14 21:36:00-04:00,p,15,0.5708,0.5558,0.005386,0.003628747
16688,2022-08-14 21:40:00-04:00,2022-08-15 01:38:00-04:00,p,15,0.5711,0.5552,0.000713,0.204621352
16689,2022-08-15 01:41:00-04:00,2022-08-15 02:53:00-04:00,p,15,0.5698,0.5533,0.001282,0.064009208
16690,2022-08-15 02:59:00-04:00,2022-08-15 03:28:00-04:00,p,15,0.5702,0.5533,0.002004,0.025742745
